ID;Title;Cesar ID;From_application;To_Application;I/F technology;Strong I/F;Cross ICT Domains
555;(several data services);#VALUE!;ACMM (SS10);MASCOT (G530);DBLink;NO;YES
422;(several data services);#VALUE!;ACMM (SS10);MAT (Q810);DBLink;;YES
568;(several data services);#VALUE!;ACMM (SS10);MCCTLS (xxxxx);DBLink;;
304;A/C Technical & Configuration Data;912;ACMM (SS10);MCT (I531);DBLink;NO;NO
418;(several data services);#VALUE!;ACMM (SS10);MEGA2 (N093);DBLink;;YES
607;(several data services);#VALUE!;ACMM (SS10);MEGA2_MTAD (xxxxx);DBLink;;
419;(several data services);#VALUE!;ACMM (SS10);MES (R800);DBLink;;YES
622;AAT Table;119;ACMM (SS10);Migration Request Management A380 (AW50);DBLink;;NO
405;(several data services);#VALUE!;ACMM (SS10);Miki (E690);DBLink;;
420;(several data services);#VALUE!;ACMM (SS10);MIRIAM (SB30);DBLink;;YES
570;(several data services);#VALUE!;ACMM (SS10);MIXABILITE (xxxxx);DBLink;;
645;MOD_VALIDITIES;2471;ACMM (SS10);MixView (B562);DBLink;NO;NO
571;(several data services);#VALUE!;ACMM (SS10);MMP_Modifications Monitoring Pro (xxxxx);DBLink;;
572;(several data services);#VALUE!;ACMM (SS10);MOD Database (xxxxx);DBLink;;
573;(several data services);#VALUE!;ACMM (SS10);MOD MANAGEMENT A380 (xxxxx);DBLink;;
421;(several data services);#VALUE!;ACMM (SS10);MOD Tardives (SS12);DBLink;;YES
574;(several data services);#VALUE!;ACMM (SS10);ModTracker (xxxxx);DBLink;;
575;(several data services);#VALUE!;ACMM (SS10);MORE (xxxxx);DBLink;;
576;(several data services);#VALUE!;ACMM (SS10);MPT_TOOL (xxxxx);DBLink;;
569;(several data services);#VALUE!;ACMM (SS10);MSN_REPOSITORY_P11 (xxxxx);DBLink;;
577;(several data services);#VALUE!;ACMM (SS10);NECTAR (xxxxx);DBLink;;
702;Data for New ADCL;;ACMM (SS10);New ADCL (Q970);DBLink;NO;NO
406;(several data services);#VALUE!;ACMM (SS10);New GOLDO (FX80);DBLink;;NO
423;Logs|MSN Configuration Data ;2472;ACMM (SS10);NICE (D650);DBLink;NO;NO
578;(several data services);#VALUE!;ACMM (SS10);NOTES (xxxxx);DBLink;;
888;DBLink;;ACMM (SS10);OPCMT (O240);DBLink;NO;NO
579;(several data services);#VALUE!;ACMM (SS10);PACK (xxxxx);DBLink;;
620;MSN Delivery date;1109;ACMM (SS10);PDMLink CASPARE (H100);DBLink;NO;NO
632;MOD Closure;201;ACMM (SS10);PDMLink System A380 (A205);File;NO;NO
580;(several data services);#VALUE!;ACMM (SS10);PDS (xxxxx);DBLink;;
581;(several data services);#VALUE!;ACMM (SS10);PQPM (xxxxx);DBLink;;
608;(several data services);#VALUE!;ACMM (SS10);PQPM (xxxxx);DBLink;;
667;Mod closure;953;ACMM (SS10);Primes CCM A350 (E341);;;
669;CA/CC cascade;954;ACMM (SS10);Primes CCM A350 (E341);;;
668;Mod closure;953;ACMM (SS10);Primes CCM A380 (E340);;;
670;CA/CC cascade;954;ACMM (SS10);Primes CCM A380 (E340);;;
657;Mod closure;447;ACMM (SS10);Primes CCM A400M (F660);;;
658;CA/CC cascade;448;ACMM (SS10);Primes CCM A400M (F660);DBLink;NO;NO
660;MSN Production Rank;493;ACMM (SS10);Primes CCM A400M (F660);;;
633;Target Configuration Set;2098;ACMM (SS10);Primes Services SSI A350 (I472);DBLink;NO;NO
640;CAT, CN, Impact CN/PFIN-CI;2311;ACMM (SS10);Primes Services SSI A350 (I472);DBLink;NO;NO
665;MP impacts on ATA Circuit Code & breakdown code;891;ACMM (SS10);Primes Services SSI A350 (I472);DBLink;NO;NO
671;MOD Closure;974;ACMM (SS10);Primes Services SSI A350 (I472);DBLink;NO;NO
641;ACMM DbLink;233;ACMM (SS10);Primes Services SSI A380 (I470);DBLink;NO;NO
616;MOD Closure Status;100;ACMM (SS10);Primes Services SSI A400M (I471);DBLink;NO;NO
652;Target Configuration Set;3009;ACMM (SS10);Primes Services SSI A400M (I471);DBLink;NO;NO
653;MP/ATA/CL/ Breakdown codes;3010;ACMM (SS10);Primes Services SSI A400M (I471);DBLink;NO;NO
654;Target Configuration Set;346;ACMM (SS10);Primes Services SSI DWH A400M (E120);DBLink;NO;NO
625;AAT Table;1360;ACMM (SS10);PRIMES SSI DMU Trouble A380 (C660);DBLink;NO;NO
424;(several data services);#VALUE!;ACMM (SS10);PSE: ELCODATA (B580);DBLink;NO;NO
585;(several data services);#VALUE!;ACMM (SS10);PSS (xxxxx);DBLink;;
1196;Responsibles from CA database;;ACMM (SS10);R-DB Delta Calculation (G070);DBLink;NO;YES
431;(several data services);#VALUE!;ACMM (SS10);S_Catalogue (H960);DBLink;;YES
601;(several data services);#VALUE!;ACMM (SS10);S_Catalogue (H960);DBLink;;
613;ACMM to Warrently Express;#VALUE!;ACMM (SS10);S_Catalogue (H960);DBLink;NO;YES
587;(several data services);#VALUE!;ACMM (SS10);SABRE - EVID (xxxxx);DBLink;;
588;(several data services);#VALUE!;ACMM (SS10);SADD A400M TMP (xxxxx);DBLink;;
589;(several data services);#VALUE!;ACMM (SS10);SAP - Finance Repository MSN (xxxxx);DBLink;YES;YES
426;(several data services);#VALUE!;ACMM (SS10);SAP PBI - Netweaver BW (B100);DBLink;;YES
365;(several data services);#VALUE!;ACMM (SS10);SAP PP Industrial Processes (F900);DBLink;;YES
590;(several data services);#VALUE!;ACMM (SS10);SAP R/3 Corporate_xAC_LDS (B180);DBLink;;YES
619;MSN,CA Code,PRS MP...;108;ACMM (SS10);SAP R/3 Corporate_xAC_LDS (B180);;;YES
661;as specified baseline;636;ACMM (SS10);SAP R/3 Corporate_xAC_LDS (B180);;;YES
666;As specified baseline MSN/CA/CI/CIN;895;ACMM (SS10);SAP R/3 Corporate_xAC_LDS (B180);File;;YES
427;(several data services);#VALUE!;ACMM (SS10);SB-COMP (SH20);DBLink;;YES
841;ACMM to SBComp - MSN information;;ACMM (SS10);SB-COMP (SH20);File;NO;YES
591;(several data services);#VALUE!;ACMM (SS10);SBREP (CORE) (xxxxx);DBLink;;
592;(several data services);#VALUE!;ACMM (SS10);SCL_LEASING (xxxxx);DBLink;;
593;(several data services);#VALUE!;ACMM (SS10);SCODA (xxxxx);DBLink;;
789;Aircraft Data;;ACMM (SS10);SDM plus (1J49);DBLink;NO;NO
432;(several data services);#VALUE!;ACMM (SS10);SISCO2 (TE00);DBLink;;YES
842;ACMM - SMART - CIN/MSN data transfer;;ACMM (SS10);SMART A400M (N/A);File;NO;YES
594;(several data services);#VALUE!;ACMM (SS10);SNT Airbus Military A400M (xxxxx);DBLink;;
433;(several data services);#VALUE!;ACMM (SS10);SPOC (YM00);DBLink;;YES
434;(several data services);#VALUE!;ACMM (SS10);SPSA (A440);DBLink;;YES
435;(several data services);#VALUE!;ACMM (SS10);STATOOL (S690);DBLink;;YES
436;(several data services);#VALUE!;ACMM (SS10);STDO (B830);DBLink;;YES
437;(several data services);#VALUE!;ACMM (SS10);SUPREM (A730);DBLink;;YES
438;FLEET, MSN and contractual data;778;ACMM (SS10);Sysconf (PJ00);DBLink;NO;NO
838;ACMM to TD Aircraft - AC Nomenclature;;ACMM (SS10);TD Aircraft Allocated  (F330);File;NO;YES
868;ACMM to F330 extract;;ACMM (SS10);TD Aircraft Allocated  (F330);File;NO;YES
877;ACMM to F330  - Table Avion;;ACMM (SS10);TD Aircraft Allocated  (F330);File;NO;YES
595;(several data services);#VALUE!;ACMM (SS10);TDQM (QQ00);DBLink;;
439;(several data services);#VALUE!;ACMM (SS10);TDSF (E600);DBLink;;YES
417;(several data services);#VALUE!;ACMM (SS10);TLB (QA10);DBLink;;YES
596;(several data services);#VALUE!;ACMM (SS10);TPCI (xxxxx);DBLink;;
597;(several data services);#VALUE!;ACMM (SS10);TRS (xxxxx);DBLink;;
598;(several data services);#VALUE!;ACMM (SS10);TTGF (xxxxx);DBLink;;
624;CR, MP, MOD, TRS Data;1287;ACMM (SS10);TWMD (xxxxx);DBLink;NO;YES
955;SP0605753 - AIP & COAC table;IL import;ACMM (SS10);Unified Planning for Series IVP-SAP and SUPER (F780);DBLink;NO;YES
600;(several data services);#VALUE!;ACMM (SS10);UP_SERIES_SINGLE_AC (xxxxx);DBLink;;
602;(several data services);#VALUE!;ACMM (SS10);VSD (xxxxx);DBLink;;
603;(several data services);#VALUE!;ACMM (SS10);WEDEC (xxxxx);DBLink;;
715;EG_interface;#VALUE!;ADN/OSIRIS (BS40);B.O.T (xxxxx);;;
886;EV_interface;;ADN/OSIRIS (BS40);B.O.T (xxxxx);;;
1066;TBD;;ADN/OSIRIS (BS40);EMIS (FD20);;;
1064;TBD;;ADN/OSIRIS (BS40);EXTRA-ADN (FD60);;;
1067;TBD;;ADN/OSIRIS (BS40);PUMAS (A231);;;
1068;TBD;;ADN/OSIRIS (BS40);VBCxxx Software chain (FL80);;;
262;AMO to SPRINT;1003;AMO (ND73);SPRINT (ND72);Service;NO;NO
299;APS Data for reports (A350, A380);1630;APS (I532);CM Reporting (G930);Other;;NO
808;BCAWD to AWL2 - FIN;1613;BCAWD (X419);AWL2 (8L00);File;NO;YES
1061;BCAWD to AWL2 - WIRES;1613;BCAWD (X419);AWL2 (8L00);File;NO;YES
1062;BCAWD to AWL2 - MSN;;BCAWD (X419);AWL2 (8L00);File;NO;YES
816;A-U EDDF ESD transfer;;BCAWD (X419);CIRCE-C (LC10);File;NO;NO
87;A-UK ESD Transfer;1565;BCAWD (X419);TAKSY:ELSY (X010 :ELSY);File;NO;NO
811;SB - SDF sp‚cification de fourniture - ;;CIRCE-C (LC10);ABC-ELEC (Z059);File;NO;YES
820;LABO files (ESD&Sketch);;CIRCE-C (LC10);ABC-ELEC (Z059);File;NO;NO
726;serveur transfer;;CIRCE-C (LC10);B.O.T (xxxxx);File;NO;
729;A-F EDDF ESD transfer (for A-U);;CIRCE-C (LC10);BCAWD (X419);File;NO;
782;LC10 to LC20: ESD files & SB bulletin;CIRCE-C;CIRCE-C (LC10);CIRCE-C-CAO (LC20);File;YES;YES
518;SB Wires length & EE;577;CIRCE-C (LC10);CIRCE-G (LC30);File;NO;NO
520;Sketches;563;CIRCE-C (LC10);CIRCE-G (LC30);File;NO;NO
764;micro fiches ;;CIRCE-C (LC10);CIRCE-G (LC30);File;NO;NO
704;eedb transfer;;CIRCE-C (LC10);EEDB (F180);File;NO;NO
21;Criterias table;1211;CIRCE-C (LC10);ESAO (ES20 / ES40 / ES50 / ES80);File;NO;YES
519;ESD Effectivities;2385;CIRCE-C (LC10);ESAO (ES20 / ES40 / ES50 / ES80);File;NO;YES
807;ECN Gilda ;1410;CIRCE-C (LC10);GILDA (GG00 );File;NO;NO
809;SB postcript;;CIRCE-C (LC10);SB-CCT (DT10);File;NO;YES
810;SB Printings;;CIRCE-C (LC10);SB-CCT (DT10);File;NO;YES
91;A-F EDDF ESD Transfer (for A-D);1562;CIRCE-C (LC10);TAKSY:ELSY (X010 :ELSY);File;NO;NO
781;ESD files & SB illustration;AXIOM/CIRCE-C-CAO;CIRCE-C-CAO (LC20);CIRCE-C (LC10);File;YES;NO
172;List of processed diagrams;2381;CIRCE-C-CAO (LC20);SIDEV (R320);File;NO;YES
754;ADQ/ATTCONF;;CIRCE-G (LC30);ATTconf (N220);File;NO;YES
169;AWL Standard Items, Equipments Metadata;169;CIRCE-G (LC30);AWL2 (8L00);File;NO;YES
742;AWL wires metadata;;CIRCE-G (LC30);AWL2 (8L00);File;NO;YES
746;diff plan bisu customer service;;CIRCE-G (LC30);AWL2 (8L00);File;NO;YES
750;AWL2  Treated MSN File;;CIRCE-G (LC30);AWL2 (8L00);;NO;YES
1044;AWL list of MSN impacted;;CIRCE-G (LC30);AWL2 (8L00);File;NO;YES
743;transfer serveur ESDI heavy tretment / sketches / on demand;;CIRCE-G (LC30);B.O.T (xxxxx);;;
744;microfiches;;CIRCE-G (LC30);B.O.T (xxxxx);File;NO;
748;EG Masse wire ;;CIRCE-G (LC30);B.O.T (xxxxx);File;NO;
749;EG masse standard item;;CIRCE-G (LC30);B.O.T (xxxxx);File;NO;NO
753;ALPIN;;CIRCE-G (LC30);B.O.T (xxxxx);File;NO;NO
521;Power on MSN ;2090;CIRCE-G (LC30);CIRCE-C (LC10);File;NO;NO
522;SB updated with DA, length, End-Fitting;578;CIRCE-G (LC30);CIRCE-C (LC10);File;NO;NO
745;T041 transfer ;;CIRCE-G (LC30);CIRCE-C (LC10);File;NO;
772;file aircraft delivery ;;CIRCE-G (LC30);CIRCE-C (LC10);File;NO;NO
819;ALPIN files (Pin Programming);;CIRCE-G (LC30);CIRCE-C (LC10);File;NO;NO
171;Definition Dossier Data wire ;212;CIRCE-G (LC30);CIRCE-P (G840);Other;YES;YES
528;module decision (entr‚e);#VALUE!;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
724;retrofit manufacturing main treatment;#VALUE!;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
725;retrofit sketches manufacturing;#VALUE!;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
731;definitin data standard item / equipment ;;CIRCE-G (LC30);CIRCE-P (G840);DB2 Exchange Table;YES;YES
733;electric definition  esd validity ;;CIRCE-G (LC30);CIRCE-P (G840);DB2 Exchange Table;YES;YES
734;sketches ;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
756;MSNs taken into account in CIRCE-G treatment;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
757;DA to diffuse ;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
758;points de masse enrichis;;CIRCE-G (LC30);CIRCE-P (G840);;NO;YES
759;Ficher des types de masse valid‚s;;CIRCE-G (LC30);CIRCE-P (G840);;NO;YES
762;refurbushing (7 files);;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
763;heavy treatment wire and fin;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
766;"refurbushing  ""type ATR"" ";;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
767;"refurbushing  ""type ATR"" ";;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
768;refurbushing on demand ;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;NO
769;definition data generalty;;CIRCE-G (LC30);CIRCE-P (G840);DB2 Exchange Table;YES;YES
780;sketches treatment;;CIRCE-G (LC30);CIRCE-P (G840);File;NO;YES
747;ESAO  titles drawing;;CIRCE-G (LC30);ESAO (ES20 / ES40 / ES50 / ES80);File;NO;YES
523;Electrical spare definition (legacy Fr);1411;CIRCE-G (LC30);GILDA (GG00 );File;;NO
524;MSN to process (Circe);1438;CIRCE-G (LC30);GILDA (GG00 );File;;NO
525;PIN-P taken into account;1651;CIRCE-G (LC30);GILDA (GG00 );File;;NO
526;Electrical definition (legacy-FR);054;CIRCE-G (LC30);GILDA (GG00 );File;;NO
1641;CIRCE-G PFE;;CIRCE-G (LC30);TABAV (C740);DB2 Exchange Table;;YES
274;Data replication;2240;CKD (D440);CM Reporting (G930);DB2 Exchange Table;;NO
276;DBLink CKD Data;238 ;CKD (D440);CM Reporting (G930);DBLink;;NO
939;Aerolia FTP Interface;;CM Reporting (G930);_TBD (N/A);Other;NO;YES
266;Data replication;2240;CM Reporting (G930);A350XWB Reporting Center (xxxxx);DBLink;NO;YES
289;CM Reporting KPI;749;CM Reporting (G930);PDMLink SSCI A350 (D850);Other;;NO
269;Data replication to Product Structure Analyser (PSA);#VALUE!;CM Reporting (G930);PSA (XXXXX);DBLink;;YES
268;Data replication to Re_Ranking tool;#VALUE!;CM Reporting (G930);Reranking (XXXXX);DBLink;;YES
267;SpotFire Access to EZC;#VALUE!;CM Reporting (G930);SPOTFIRE (XXXXX);DBLink;NO;YES
174;EZT Reports;1724;DPDS (Y103);Easytrieve (xxxxx);File;NO;NO
161;A-D, A-UK, A-E,... Partner PL & PU - DPDS;1213;DPDS (Y103);GILDA (GG00 );File;NO;NO
286;DPDS / Optegra interface;1678 ;DPDS (Y103);Optegra UK (X251);File;NO;NO
924;DPDS/Optegra interface (cDMU legacy;582;DPDS (Y103);Optegra UK (X251);File;NO;NO
1619;Load design BOMs from DPDS into SAP_UK APD;;DPDS (Y103);SAP R/3 UK_AxD_LDS (B040);IDOC;;YES
175;Drg Cascade Xfer;1606;DPDS (Y103);TAKSY:ZEI (X010:ZEI);File;NO;NO
356;#VALUE!;#VALUE!;ECDB (LE80);ACC: PSQM (QQ10);Other;YES;NO
1070;Fin, CMS, PN and effectivity;1381;ECDB (LE80);ACC: PSQM (QQ10);File;NO;NO
4;A-F & A-UK & A-D FIN Equipment;1614;ECDB (LE80);ACDB (1Q00 and 8W00);File;NO;YES
5;A-F A-D FIN SI;1615;ECDB (LE80);ACDB (8W00);File;NO;YES
925;Weighting check list;1907;ECDB (LE80);B.O.T (xxxxx);File;YES;NO
12;Equipment definition;2258;ECDB (LE80);BFEMS (PF00);File;NO;YES
207;Equipment Definition;1840;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
208;FIN SI Definition;1841;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
211;FIN-SI (CI/DS/MOD) A-F, A-D, A-E et A-UK;784;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
212;FIN SI Definition A-F, FAF & CCC;236;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
213;Equipment Definition A-F, A-D & A-UK;268;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
214;FIN-SI (CI/DS/MOD) A-F and A-D;433;ECDB (LE80);CIRCE-G (LC30);File;NO;NO
885;Equipment Validity;;ECDB (LE80);CIRCE-P (G840);File;YES;YES
14;Serial Equipment;1909;ECDB (LE80);DLW (Q190);File;NO;YES
215;Equipment definition (legacy-FR);1412;ECDB (LE80);GILDA (GG00 );File;NO;NO
23;Trans Validity EQ;048;ECDB (LE80);INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
711;Equipment definition;2688;ECDB (LE80);MixView (B562);File;NO;NO
728;SA/LR Equipment validity;1908;ECDB (LE80);MixView (B562);File;NO;NO
216;Equipment definition FIN CMS PN;2237;ECDB (LE80);PL1-FOCUS APPLICATIONS (YBD1);File;NO;YES
140;A-D FAF FIN-SI Definition;155;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
141;A-F FIN-SI Definition;161;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
142;A-D CCC FIN-SI Definition;1901;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
145;A-F  FIN-SI Definition;1900;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
146;A-D FIN-SI Definition;1902;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
147;A-UK FIN-SI Definition;1903;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
148;A-E FIN-SI Definition;1904;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
149;A-D FIN-SI Definition;1312;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
151;A-F FIN-SI Definition;1313;ECDB (LE80);Primes System FIN SI (F590);File;NO;NO
143;C/B of 300VU A380 A-F;1108;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
144;C/B of 300VU A-F;1317;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
152;C/B of 300VU A350 A-F;1104;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
153;C/B of 300VU A350 A-D;1105;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
154;C/B of 300VU A350 A-E;1106;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
155;C/B of 300VU A350 A-UK;1107;ECDB (LE80);PSE: ELCODATA (B580);File;NO;NO
22;Equipment definition for A-F, A-D, A-UK;1906;ECDB (LE80);RIC (N156);File;NO;YES
19;FIN Data EQ Extract for SA;1745;ECDB (LE80);SAP R/3 UK_AxD_LDS (B040);File;NO;YES
20;FIN Data EQ Extract for LR;1746;ECDB (LE80);SAP R/3 UK_AxD_LDS (B040);File;NO;YES
24;TechData A-D, A-F FIN SI + Eqpt;1612;ECDB (LE80);SMS (8I00);File;NO;YES
101;FIN EQ Data for D99/F99;1559;ECDB (LE80);TAKSY:GESY (X010:GESY);File;NO;NO
102;SA FIN SI Circuit Breaker;1834;ECDB (LE80);TAKSY:GESY (X010:GESY);File;NO;NO
284;ESD Product Structure;918;ESDCR - A350 (E401);MCT (I531);File;;NO
1208;electrical data definition;;ESDCR (E400);SMS (8I00);File;;YES
353;Registration At First Flights|APU At First Flights|Engines At First Flights;2478;FTA (QB10);ACC (PA02);File;NO;NO
678;All Updates And Modifications;2482;FTA (QB10);FTA-NG (G550);DBLink;;NO
341;Aircraft registration number;1375;FTA-NG (G550);ACC (PA02);File;;NO
513;Engine APU;2431;FTA-NG (G550);ACMM (SS10);DBLink;;NO
907;Interface;;FTA-NG (G550);FTA (QB10);;;
978;eTLB information;IL import;FTA-NG (G550);SI Corporate (H620);;;YES
979;Special instruction status;IL import;FTA-NG (G550);SI Corporate (H620);;;YES
906;Interface;;FTA-NG (G550);TLB (QA10);DBLink;;YES
1239;SA A-F ATA-Zone;383;GEMAVICC (FV11);DMU Server A320 (U960);File;NO;YES
1237;SA&LR A-F ATA Zone;151;GEMAVICC (FV11);DVise Server (H990);File;NO;YES
1238;SA&LR other Natcos subscribed ATA Zone by A-F;152;GEMAVICC (FV11);DVise Server (H990);;;
2;Mod closure with validity;1347;GILDA (GG00 );ACC (PA02);File;NO;NO
8;SSI Definition with Req. + CA/CC Code + Indus. Conf.;103;GILDA (GG00 );ARP Feeding A380 (xxxxx);File;NO;NO
176;GILDA AAT;1210.b;GILDA (GG00 );CIRCE-C (LC10);File;NO;NO
177;Criterias table;1211.a;GILDA (GG00 );CIRCE-C (LC10);File;NO;NO
186;FIN installation + effectivity checked;1013;GILDA (GG00 );CIRCE-G (LC30);File;NO;NO
187;ESD effectivity calculation results;1437;GILDA (GG00 );CIRCE-G (LC30);File;NO;NO
196;Gilda result of effectivity calculation FIN-SI A-F, FAF & CCC;042;GILDA (GG00 );ECDB (LE80);File;NO;NO
197;MSN SA for D99;2213;GILDA (GG00 );ECDB (LE80);File;NO;NO
198;Gilda result of effectivity calculation FIN-EQ, FIN-SI & FIN-CB;2214;GILDA (GG00 );ECDB (LE80);File;NO;NO
199;Gilda result of effectivity calculation FIN-SI;2215;GILDA (GG00 );ECDB (LE80);File;NO;NO
200;Gilda result of effectivity calculation FIN-SI A-F & A-D;2221;GILDA (GG00 );ECDB (LE80);File;NO;NO
201;Gilda result of effectivity calculation FIN EQ A-F, A-D & A-UK;2238;GILDA (GG00 );ECDB (LE80);File;NO;NO
206;Eqpt validity transfer file for SA/LR;1233;GILDA (GG00 );ECDB (LE80);File;NO;NO
202;Technical solutions validities;1527;GILDA (GG00 );GEMAVICC (FV11);File;NO;NO
203;Unreferenced PS;023;GILDA (GG00 );GEMAVICC (FV11);File;NO;NO
25;Components/Drawings need;1576;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
26;Functional landmark needs;1577;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
27;Technical solution needs;1578;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
28;Components needs;1579;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
29;Items needs;1580;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
30;BAL RT modified (Cascade descent);1581;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
35;RF with valid responsability (IE01);1590;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
37;A320 - IE50: Conf EC's solution validities table;1592;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
40;Responsibles File;1595;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
779;Effectivity FM-OPE;;GILDA (GG00 );INTERFACE GILDA_GPAO - GEC SAP (Q120);File;NO;YES
31;Interchangeability;1512;GILDA (GG00 );INTERRAP (N056);File;NO;YES
720;[1225.b] Definition Meca, EQT by MSN;1225.b;GILDA (GG00 );MAEVA (N112);File;NO;YES
159;Indus Conf;127;GILDA (GG00 );PDMLink System A380 (A205);File;NO;NO
736;Gilda export to Focus;;GILDA (GG00 );PL1-FOCUS APPLICATIONS (YBD1);File;NO;YES
717;SSI Definition with Req. + CA/CC Code + Indus. Conf.;103;GILDA (GG00 );Primes CCM A380 (E340);File;NO;
156;SSI Definition with Req. + CA/CC Code+ Indus Conf;113;GILDA (GG00 );Primes Services SSI A380 (I470);File;NO;NO
718;SSI Definition with Req. + CA/CC Code + Indus. Conf.;103;GILDA (GG00 );PRIMES SYSTEMS CME ELEC A380 (D790);File;NO;
1623;Partner Delta 1;IM Import;GILDA (GG00 );R-DB Delta Calculation (G070);File;;YES
32;A380 - IE50: Conf EC solution validities table;1588;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);File;NO;YES
33;A340 - IE50: Conf EC solution validities table;1589;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);File;NO;YES
36;EC base T3D102;1591;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);File;NO;YES
41;Integrated DQN + Drawing booking table (GN80);1596;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);File;NO;YES
42;Drawing/ECN/DMJ;1597;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);File;NO;YES
1053;Link CA PNR;;GILDA (GG00 );SAP R/3 Corporate_xAC_LDS (B180);;;YES
43;Gilda data replication to Schedule;1229;GILDA (GG00 );Scheduling (E380);File;NO;YES
7;A-F, A-D, A-UK, A-E Part usage SMS;1216;GILDA (GG00 );SMS (8I00);File;NO;YES
44;Delta file (SSI Definition);1222;GILDA (GG00 );SMS (8I00);File;NO;YES
721;[1225.d] Definition Meca, EQT by MSN;1225.d;GILDA (GG00 );Supplier(s) (XXX);File;NO;YES
115;DRW Cascade;1798;GILDA (GG00 );TAKSY (X010);File;NO;NO
160;Effectivity calculation anomalies;1732;GILDA (GG00 );TREATMENT RESULTS (E670);File;NO;NO
158;TA & Criteria & GC9A FAF-CCC A380;1235;GILDA (GG00 );VPM A-D (X011);File;NO;NO
926;AAT Delta1;1584;GILDA:EC-BILAN (GG00:EC-BILAN);SAP R/3 FR_xGI_LDS (B030);File;NO;YES
929;Specified File;1585;GILDA:EC-BILAN (GG00:EC-BILAN);SAP R/3 FR_xGI_LDS (B030);File;NO;YES
934;Defined File;1586;GILDA:EC-BILAN (GG00:EC-BILAN);SAP R/3 FR_xGI_LDS (B030);File;NO;YES
938;Delta 1 files;1587;GILDA:EC-BILAN (GG00:EC-BILAN);SAP R/3 FR_xGI_LDS (B030);File;NO;YES
173;Part Lists;1122;GILDA:MMDB+ (GG00:MMDB+);Engineering Drawings A380 (D750);File;NO;YES
300;Mixability Cond. by MOD Tree, CIN and MSN;1666;iAMT (H970);CM Reporting (G930);File;;NO
695;Calculated status of marketing relevant status;1737;iAMT (H970);S_Catalogue (H960);File;;YES
673;Concept phase conf data;632;ICC pre M7 (E550);ACMM (SS10);DBLink;;NO
6;ICC-CADB data;1324;ICC-CADB (A410);ACMM (SS10);DBLink;YES;NO
986;As-Specified Data;1422;ICC-CADB (A410);AIR (S520);;;YES
220;CA/CC Codes;072;ICC-CADB (A410);AIRCRAFT PROGRESS NG (AS10);;;
221;TRS impacts, CACC Codes;2353;ICC-CADB (A410);APS (I532);CDC;;NO
222;CA/CC Codes;072;ICC-CADB (A410);GILDA (GG00 );File;NO;NO
